C:\ TYPE:NTFS  FREE:1078.48 MB TOTAL:10001.40 MB,\\IPDDFZ1852ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:115.30 MB TOTAL:5004.62 MB,\\IPDDFZ0036ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:1150.04 MB TOTAL:10001.40 MB,\\IPDDFZ1904ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:1642.65 MB TOTAL:10001.40 MB,\\IPDDFZ1942ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:1672.85 MB TOTAL:5004.62 MB,\\IPDDFZ0035ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:1725.30 MB TOTAL:10001.40 MB,\\IPDMCZ0007ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:1736.77 MB TOTAL:10009.21 MB,\\IPDAEZ0962ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:1936.28 MB TOTAL:10001.40 MB,\\IPDMBZ0134ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:1941.97 MB TOTAL:10001.40 MB,\\IPDDFZ1966ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:1949.44 MB TOTAL:10001.40 MB,\\IPDDFZ1967ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:2084.08 MB TOTAL:6157.02 MB,\\MAIL14KCATL,Win2K3-
C:\ TYPE:NTFS  FREE:2147.55 MB TOTAL:10001.40 MB,\\IPDDFZ1885ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:2207.92 MB TOTAL:7679.48 MB,\\IPSWAZ0015ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:2301.21 MB TOTAL:7679.48 MB,\\IPSWAZ0011ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:2361.79 MB TOTAL:6157.02 MB,\\IPSMIZ0024ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:2381.13 MB TOTAL:6150.00 MB,\\MAIL6KCATL,Win2K3-
C:\ TYPE:NTFS  FREE:2507.45 MB TOTAL:6157.02 MB,\\IPSMIZ0016ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:2517.89 MB TOTAL:6157.02 MB,\\IPSMIZ0017ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:2543.59 MB TOTAL:6157.02 MB,\\IPSMIZ0019ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:2549.39 MB TOTAL:6157.02 MB,\\IPSMIZ0011ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:2556.09 MB TOTAL:6157.02 MB,\\IPSMIZ0020ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:2571.09 MB TOTAL:6157.02 MB,\\IPSMIZ0023ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:2580.09 MB TOTAL:6157.02 MB,\\IPSMIZ0032ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:2583.09 MB TOTAL:6157.02 MB,\\IPSMIZ0027ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:2585.93 MB TOTAL:6157.02 MB,\\IPSMIZ0029ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:2592.59 MB TOTAL:6150.00 MB,\\IPSMIW0121ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:2593.70 MB TOTAL:6157.02 MB,\\IPSMIZ0021ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:2610.94 MB TOTAL:7679.48 MB,\\IPSWAZ0017ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:2618.78 MB TOTAL:6157.02 MB,\\IPSMIZ0026ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:2620.02 MB TOTAL:6157.02 MB,\\IPSMIZ0015ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:2620.25 MB TOTAL:6157.02 MB,\\IPSMIZ0013ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:2621.38 MB TOTAL:6157.02 MB,\\IPSMIZ0012ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:2624.29 MB TOTAL:6157.02 MB,\\IPSMIZ0014ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:2681.80 MB TOTAL:10001.25 MB,\\IPUDFZ0010ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:2754.60 MB TOTAL:10001.40 MB,\\IPDMBZ0249ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:2954.88 MB TOTAL:10001.40 MB,\\IPDDFZ1816ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:2994.68 MB TOTAL:10001.40 MB,\\IPDDFZ0151ATL2,Win2K3-
C:\ TYPE:NTFS  FREE:3117.86 MB TOTAL:10001.25 MB,\\IPDAEZ1415ATL2,Win2K3-
